neuron_id,method,x,y,cluster,d1,d2,d3,d4,d5,v,u,energy,spike_counter,io_role
84345608,tsne,-1.4084142446517944,-0.775580883026123,,8.0,3.0,7.0,5.0,0.0,-65.0,-13.0,1.0,0,internal
84476677,tsne,-8.118946075439453,0.8071210980415344,,5.0,3.0,9.0,5.0,0.0,-65.0,-13.0,1.0,0,internal
100665347,tsne,9.767759323120117,-8.851442337036133,,3.0,8.0,0.0,6.0,0.0,-65.0,-13.0,1.0,0,internal
100795904,tsne,9.224809646606445,-10.620616912841797,,0.0,6.0,2.0,6.0,0.0,-65.0,-13.0,1.0,0,input
100862209,tsne,10.520098686218262,-10.308664321899414,,1.0,9.0,3.0,6.0,0.0,-65.0,-13.0,1.0,0,internal
101123841,tsne,8.718732833862305,22.101831436157227,,1.0,7.0,7.0,6.0,0.0,-65.0,-13.0,1.0,0,internal
101255169,tsne,7.799435138702393,22.48389434814453,,1.0,8.0,9.0,6.0,0.0,-65.0,-13.0,1.0,0,internal
117508353,tsne,10.345318794250488,-9.963433265686035,,1.0,9.0,1.0,7.0,0.0,-65.0,-13.0,1.0,0,internal
117702663,tsne,-6.357579231262207,-12.076685905456543,,7.0,0.0,4.0,7.0,0.0,-65.0,-13.0,1.0,0,internal
117835778,tsne,9.787922859191895,21.653846740722656,,2.0,8.0,6.0,7.0,0.0,-65.0,-13.0,1.0,0,internal
117966336,tsne,8.72458553314209,22.951658248901367,,0.0,6.0,8.0,7.0,0.0,-65.0,-13.0,1.0,0,input
134217988,tsne,-9.362480163574219,-18.80156135559082,,4.0,1.0,0.0,8.0,0.0,-65.0,-13.0,1.0,0,internal
134350343,tsne,4.670902729034424,-7.201074123382568,,7.0,6.0,2.0,8.0,0.0,-65.0,-13.0,1.0,0,internal
134546181,tsne,-3.600105047225952,-2.7777605056762695,,5.0,3.0,5.0,8.0,0.0,-65.0,-13.0,1.0,0,internal
134676996,tsne,-5.404417991638184,-1.3246541023254395,,4.0,2.0,7.0,8.0,0.0,-65.0,-13.0,1.0,0,internal
134808064,tsne,-10.836716651916504,0.5825000405311584,,0.0,2.0,9.0,8.0,0.0,-65.0,-13.0,1.0,0,input
151060737,tsne,-11.316865921020508,-19.674896240234375,,1.0,1.0,1.0,9.0,0.0,-65.0,-13.0,1.0,0,internal
151192064,tsne,-12.164485931396484,-19.876909255981445,,0.0,2.0,3.0,9.0,0.0,-65.0,-13.0,1.0,0,input
151388420,tsne,-5.333601474761963,-2.029529333114624,,4.0,1.0,6.0,9.0,0.0,-65.0,-13.0,1.0,0,internal
